###### PROVIDER-PASSWORDS ######
tnttnkdyuo -- customercare@elpedison.gr
jqgxogfahm -- info@eunice-group.com
evmygtntmt -- cs@nrg.gr
dkqmfxhnca -- info@ote-estate.gr
dlsogutogf -- info@prot-energy.gr
vnahyunhkr -- supply@soumpasis.gr
jczimmxocy -- customercare@volterra.gr
zecuizdnoy -- info@volton.gr
ohxwsnkgcw -- info@dei.com.gr
dopgluhsvp -- info@elin.gr
copqxbkoxn -- info@zenith.gr
xgnadouycc -- customercare@heron.gr
xshywyqbhj -- customerservice@fysikoaerioellados.gr
###### EMPLOYEE-PASSWORDS ######
quzsckcvjf -- williamsrebecca@hotmail.com
wluqqmxori -- amyrodriguez@yahoo.com
aiiwpxdfon -- vblake@gmail.com
syhlkfyptw -- reyesmichael@gmail.com
gxsbkmzgvy -- amywashington@gmail.com
###### CONSUMER-PASSWORDS ######
byybqqlser -- titos.mpalasi@hol.gr
gzkclgjfio -- vladimiros.pantou@gmail.com
grnfvdwzoo -- eukleidis02@gmail.com
dqlwwawuvp -- mandros.kosmas@googlemail.gr
swtsvidcgj -- odysseia.mpika@googlemail.gr
ykfsjagwal -- dpapaeuaggeliou@otenet.gr
tlbnabwvct -- mpakostergiou.aias@otenet.gr
fhxlgizhjk -- pzacharioudaki@hol.gr
wlemjowmqj -- kimon33@gmail.com
zirovmxerr -- vkaramani@otenet.gr
huostuhtmh -- lygeri23@forthnet.gr
gxcjfoxygn -- giannopoulou.komninos@forthnet.gr
eoivymmilz -- christiana.gkaliou@googlemail.gr
knpgdcvxxd -- rfotopoulos@hotmail.gr
jayzcmjqfp -- christou.makarios@otenet.gr
ykmasukwun -- anagnostis07@hotmail.gr
hdgfcqetje -- alexios49@hol.gr
cnpewgdtlu -- eirini06@gmail.com
oywnsslscr -- eufrosyni.koulocheri@gmail.com
eezlnmkiox -- dikaios26@googlemail.gr
zbbfbpxbra -- sotirios.garoufalis@googlemail.gr
tkxfidztpq -- bdoulgeraki@otenet.gr
ecwclmfjbl -- tenotiadi@forthnet.gr
pguwzzwxnt -- nikoleta.mparkouta@googlemail.gr
witwvunknb -- tkoutsikos@gmail.com
smwoisobpi -- mauraeidi.ino@googlemail.gr
sputgufnnm -- pausanias75@forthnet.gr
fvrlwhiddx -- tvamvoukaki@googlemail.gr
