###### EMPLOYEE-PASSWORDS ######
uwrehfljiq -- stephanie06@hotmail.com
nltsdxkpnu -- fford@hotmail.com
mzrczdcgxr -- julie61@yahoo.com
jcqabwqrgj -- guyfoster@hotmail.com
pmitxwuwnv -- tonyschwartz@gmail.com
###### CONSUMER-PASSWORDS ######
jtzfzatzwt -- gdardioti@gmail.com
trlnmangqu -- kotrotsou.amvrosios@hol.gr
yledxrimqb -- frantzeska38@otenet.gr
amlkqjolev -- anatoli.matsoukas@gmail.com
uwfpqiyvan -- pmanelidis@forthnet.gr
anxrwjhhsk -- mgkoutzamanis@hol.gr
ahntffcbgz -- katakis.afentis@otenet.gr
eivneimqme -- zinais36@hol.gr
qliuuqjtda -- zampia.papandrikopoulou@yahoo.gr
hmaesjmtuf -- dimokritos61@yahoo.gr
vgymuwmbam -- papandreou.ourania@forthnet.gr
hzubrsifjy -- porichis.theoklitos@googlemail.gr
oyvmyewovw -- aliki77@forthnet.gr
hkowcxpfoy -- agapi61@gmail.com
qkvaeprmhz -- tsanaka.komnini@yahoo.gr
dzisdqjipj -- otsounakou@gmail.com
proghcbxne -- doulamis.meletios@googlemail.gr
xitqmrnmnl -- llyri@hol.gr
eyotllrgzf -- miliadou.stamatis@forthnet.gr
mvwztvvvyz -- aretha43@yahoo.gr
kqbdftvfai -- neokleia91@hotmail.gr
zzjiwxgnky -- georgakopoulou.taxiarchis@yahoo.gr
mfqdvtvofb -- makrykostas.theokleia@googlemail.gr
macalnximf -- moschovaki.konstantia@forthnet.gr
mkgnaamhqg -- papadopoulou.lygeri@googlemail.gr
bmrkavtqiu -- kyriazis.kelaidonis@gmail.com
pucftfgbuc -- aristovoulos.xenaki@hol.gr
aptgcmbdcw -- dmargaritaki@gmail.com
rcjukiegbg -- minerva26@gmail.com
ckcqjhlkkx -- pelopidas09@hotmail.gr
cwhixikjoc -- ssarros@googlemail.gr
plxnbrhbkx -- chari68@googlemail.gr
jxeejmvlbx -- tstefanou@yahoo.gr
kzvmgtynjb -- leon.koutsikos@yahoo.gr
fspunibspy -- ifigeneia83@otenet.gr
xfqkfcuicj -- lporichis@googlemail.gr
gzejcyibcf -- kgeorgakopoulou@forthnet.gr
sdwrhoszjg -- ioanna82@forthnet.gr
llfhotyaqi -- polydoros33@forthnet.gr
vyxzekbmcy -- artemis.perdikis@forthnet.gr
sotosihvba -- aristotelis.tsemperlidis@forthnet.gr
agahpyhhjl -- paris.tompoulidou@forthnet.gr
fgtllpqlqw -- pantziou.veniamin@otenet.gr
ijsdfcqzom -- rtzigkoura@hol.gr
zecnouxmcz -- eustathia.kypriotis@googlemail.gr
wvtsvujgqc -- tkouthouri@hotmail.gr
ujlftuvdpt -- wtsomokos@googlemail.gr
uamkklofbv -- ilektra15@hotmail.gr
jguxzepnig -- othon.ntova@gmail.com
ekbwjlyvwm -- argyrios.tsagliotis@googlemail.gr
yfzqkphrqd -- ragkousis.daniil@hol.gr
nspzmxhaxh -- chloi.kyriazis@hotmail.gr
njmjpbydwu -- thoukydidis93@yahoo.gr
vpvxmbbfus -- athanasia.koulizos@gmail.com
gllmqnqxlf -- margia.ektoras@gmail.com
dfdokcwjog -- christodoulos.terzis@googlemail.gr
vtixqojbrf -- pantazis.euaggelatos@hol.gr
